Numeric counter for order in THOMAS data from 93rd - 110th Congresses,"Legislator name, as given in THOMAS","ICPSR number, according to Poole and Rosenthal",Congress number,Year at start of Congress,Two-letter state code,Congressional district number,1 = Democrat,Year first elected to House,1 = female,Percent vote received to enter this Congress,First-dimension DW-NOMINATE score,Second-dimension DW-NOMINATE score,Size of House delegation from member's state,1= Speaker,"1 = subcommittee chair (or vice chair), according to Almanac of American Politic",1 = African American,1 = Latino/a,votepct squared,"1 = Member of Appropriation, Rules, or Ways and Means","1 = committee chair, according to Almanac of American Politics",1 = served in state legislature,state_leg * state legislature professionalism,1 = majority party member,1 = Majority party leadership,1 = Minority party leadership,Absolute distance from floor median (DW-NOMINATE),Absolute distance from majority party median (DW-NOMINATE),"Dummy = 1 if in first partial or full term, nonconsecutive","Seniority, number of terms served counting current",Number of members in Party (0 = Indep),LES Classic Rank within Party,"100=Dem, 200=Rep, Other",Name in bioguide,Indicator for member in bioguide,Year born,"Year died, as of 2020",Number of commemorative bills sponsored by this member,Number of commemorative bills receiving action in committee,Number of commemorative standalone bills receiving action beyond committee,Number of commemorative standalone bills passing House,Number of commemorative standalone bills becoming law,Number of substantive bills sponsored by this member,Number of substantive bills receiving action in committee,Number of substantive standalone bills receiving action beyond committee,Number of substantive standalone bills passing House,Number of substantive standalone bills becoming law,Number of substantive and significant bills sponsored by this member,Number of substantive and significant bills receiving action in committee,Number of substantive and significant standalone bills receiving action beyond c,Number of substantive and significant standalone bills passing House,Number of substantive and significant standalone bills becoming law,LES 1.0,Number of commemorative bills sponsored by this member,Number of commemorative bills receiving action in committee,Number commem bills with action beyond committee (inc in other leg vehicles),Number commemorative bills passing House (inc in other leg vehicles),Number commemorative bills becoming law (inc in other leg vehicles),Number of substantive bills sponsored by this member,Number of substantive bills receiving action in committee,Number substantive bills with action beyond committee (inc in other leg vehicles,Number substantive bills passing House (inc in other leg vehicles),Number substantive bills becoming law (inc in other leg vehicles),Number of substantive and significant bills sponsored by this member,Number of substantive and significant bills receiving action in committee,Number S&S bills with action beyond committee (inc in other leg vehicles),Number S&S bills passing House (inc in other leg vehicles),Number S&S bills becoming law (inc in other leg vehicles),LES 2.0,LES 2.0 Benchmarks,LES2.0/Benchmark2.0,"1 = Below, 2 = Meets, 3 = Exceeds LES 2.0 Benchmarks",Total number of bills sponsored by this member,Total bills passing House (inc in other leg vehicles),Total number of bills receiving action in committee,Total bills receiving action beyond committee (inc in other leg vehicles),Total bills becoming law (inc in other leg vehicles),Total number of bills sponsored by this member,Total number of standalone bills passing House,Total number of bills receiving action in committee,Total number of standalone bills receiving action beyond committee,Total number of standalone bills becoming law,"Benchmark score (Classic) based on majority, seniority, chairs",LES/benchmark (Classic),"1 = Below, 2 = Meets, 3 = Above, Based on Classic LES",Lagged LES 1.0,Lagged LES 2.0,LES 2.0 Rank within Party
8017,"Abercrombie, Neil",15245,111,2009,HI,1,1,1990,0,77,0,0,2,0,1,0,0,5929,0,0,1,0,1,0,0,0,0,0,10,269,154,100,"ABERCROMBIE, Neil",A000014,1938,,0,0,0,0,0,15,2,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,15,1,2,1,0,2,0,1,1,,
8018,"Ackerman, Gary",15000,111,2009,NY,5,1,1983,0,71,0,0,29,0,1,0,0,5041,0,0,1,1,1,0,0,0,0,0,14,269,233,100,"ACKERMAN, Gary Leonard",A000022,1942,,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,0,0,2,0,1,1,,
8019,"Aderholt, Robert",29701,111,2009,AL,4,0,1996,0,75,0,1,7,0,0,0,0,5625,1,0,0,0,0,0,0,1,1,0,7,182,84,200,"ADERHOLT, Robert",A000055,1965,,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7,1,0,1,0,1,1,2,0,,
8020,"Adler, John",20928,111,2009,NJ,3,1,2008,0,52,0,0,13,0,0,0,0,2704,0,0,1,0,1,0,0,0,0,1,1,269,95,100,"ADLER, John H.",A000364,1959,2011,1,0,0,0,0,22,3,3,3,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,23,3,3,3,0,1,2,3,,,
8021,"Akin, W.",20123,111,2009,MO,2,0,2000,0,62,1,0,9,0,0,0,0,3844,0,0,1,0,0,0,0,1,1,0,5,182,90,200,"AKIN, W. Todd",A000358,1947,,3,3,3,3,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,8,3,3,3,0,0,1,2,0,,
8022,"Alexander, Rodney",90327,111,2009,LA,5,0,2002,0,100,0,0,7,0,0,0,0,10000,1,0,1,0,0,0,0,1,1,0,4,182,51,200,"ALEXANDER, Rodney",A000361,1946,,0,0,0,0,0,9,2,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,9,1,2,1,0,0,2,3,0,,
8023,"Altmire, Jason",20743,111,2009,PA,4,1,2006,0,56,0,1,19,0,1,0,0,3136,0,0,0,0,1,0,0,0,0,0,2,269,65,100,"ALTMIRE, Jason",A000362,1968,,1,1,1,1,1,11,0,0,0,0,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,13,2,2,2,2,1,2,3,1,,
8024,"Andrews, Robert",29132,111,2009,NJ,1,1,1990,0,72,0,0,13,0,1,0,0,5184,0,0,0,0,1,0,0,0,0,0,10,269,164,100,"ANDREWS, Robert Ernest",A000210,1957,,0,0,0,0,0,7,2,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2,1,0,2,0,1,1,,
8025,"Arcuri, Michael",20736,111,2009,NY,24,1,2006,0,52,0,0,29,0,0,0,0,2704,1,0,0,0,1,0,0,0,0,0,2,269,195,100,"ARCURI, Michael",A000363,1959,,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,14,0,2,0,0,1,1,2,0,,
8026,"Austria, Steve",20940,111,2009,OH,7,0,2008,0,58,0,0,18,0,0,0,0,3364,0,0,1,0,0,0,0,1,1,1,1,182,171,200,"AUSTRIA, Steve",A000365,1958,,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,1,,,
